id,fecha_publicacion,ciudad,zona,tipo,area,dormitorios,banos,precio_millones,precio_m2,segmento,precio_estimado,diferencia_pct,estado_precio,dias_publicado,esta_activo
xq5vLUcZyPxfZzWFZdGFiQ==,2021-04-07,Barranquilla,Sin dato,Apartamento,77.0,1.0,2.0,310.0,4025974.025974026,Compactos en zona cara,306.8982167054527,1.0106879498502501,Cerca del valor estimado,,True
5LZOFqqi5Kv0hxtDsQG2EQ==,2021-04-07,Cali,Sin dato,Apartamento,62.0,2.0,1.0,180.0,2903225.806451613,Económicos estándar,156.1432914096324,15.278727875526185,Por encima del valor estimado,,True
bls2Ub1dZtH6zuCFD66iBg==,2021-04-07,Cali,Sin dato,Casa,105.0,2.0,2.0,150.0,1428571.4285714286,Económicos estándar,232.31981907625948,-35.433834015357,Por debajo del valor estimado,35.0,False
ewydyD1nVkj8jQ+gxny/RA==,2021-04-07,Cali,Lili,Apartamento,54.0,2.0,2.0,168.0,3111111.111111111,Económicos estándar,165.2344610465215,1.673705918222397,Cerca del valor estimado,,True
fD2oqrDSLy407s+g5b7krQ==,2021-04-07,Itagui,Sin dato,Apartamento,60.0,2.0,2.0,210.0,3500000.0,Económicos estándar,232.15992042110494,-9.545110276101926,Cerca del valor estimado,41.0,False
ZwynSCmJc7Wk5PqrN/9Gew==,2021-04-07,Cajicá,Sin dato,Apartamento,61.0,2.0,2.0,220.0,3606557.37704918,Económicos estándar,234.00678058662868,-5.985630224694881,Cerca del valor estimado,,True
qOSZ3Ahs1PnUESfXu/DL1w==,2021-04-07,Bogotá D.C,Zona Norte,Apartamento,86.0,2.0,2.0,450.0,5232558.139534884,Compactos en zona cara,527.0671905325509,-14.62189108274447,Cerca del valor estimado,,True
bOG/uoShCDLjMwTfeVL9/A==,2021-04-07,Bogotá D.C,Zona Chapinero,Apartamento,86.0,2.0,2.0,550.0,6395348.837209302,Compactos en zona cara,527.0671905325509,4.3510220099789825,Cerca del valor estimado,12.0,False
w0XUKjIbGs3XLLNcNR99tA==,2021-04-07,Cali,Santa Isabel,Apartamento,75.0,2.0,3.0,350.0,4666666.666666667,Compactos en zona cara,284.574963352372,22.9904401556985,Por encima del valor estimado,,True
SsXmWdA8rGJAzCRbSRaeFg==,2021-04-07,Bogotá D.C,Zona Norte,Apartamento,121.0,2.0,3.0,650.0,5371900.826446281,Compactos en zona cara,762.6633545293166,-14.772357142929419,Cerca del valor estimado,19.0,False
